legislator,role,district,party,residence,gender,desk_number,profession,notes,session_name,session_year,regular
"Williamson, Jennifer",Democratic Leader,36,Democrat,Portion of Multnomah,Female,NA,"Law, Public Safety, Corrections and Security",NA,2019 Session,2019,TRUE
"Wilson, Carl",Republican Leader,3,Republican,Portion of Josephine,Male,NA,"Arts, Audio/Video Technology and Communications",NA,2019 Session,2019,TRUE
"Witt, Bradley",NA,31,Democrat,Columbia and portions of Multnomah and Washington,Male,NA,Government and Public Administration,NA,2019 Session,2019,TRUE
"Zika, Jack",NA,53,Republican,NA,Male,NA,NA,NA,2019 Session,2019,TRUE
"Alonso Leon, Teresa",NA,22,Democrat,"Brooks, Gervais, Salem, Woodburn",Female,36,Government and Public Administration,NA,2018 Special Session,2018,FALSE
"Barker, Jeff",NA,28,Democrat,Portion of Washington,Male,3,Retired,NA,2018 Special Session,2018,FALSE
"Barnhart, Phil",NA,11,Democrat,Portions of Lane and Linn,Male,60,Government and Public Administration,NA,2018 Special Session,2018,FALSE
"Barreto, Greg",NA,58,Republican,"Union, Wallowa and portion of Umatilla",Male,41,Business Management and Administration,NA,2018 Special Session,2018,FALSE
"Boles, Denyc",NA,19,Republican,Portion of Marion,Female,48,Government and Public Administration,NA,2018 Special Session,2018,FALSE
"Bonham, Daniel",NA,59,Republican,"Jefferson, Wheeler and portions of Deschutes and Wasco",Male,7,Business Management and Administration,NA,2018 Special Session,2018,FALSE
"Boone, Deborah",NA,32,Democrat,Clatsop and portions of Tillamook and Washington,Female,38,Business Management and Administration,NA,2018 Special Session,2018,FALSE
"Buehler, Knute",NA,54,Republican,Portion of Deschutes,Male,39,Health Science,NA,2018 Special Session,2018,FALSE
"Bynum, Janelle",NA,51,Democrat,Portions of Clackamas and Multnomah,Female,35,Business Management and Administration,NA,2018 Special Session,2018,FALSE
"Clem, Brian",NA,21,Democrat,Portion of Marion,Male,46,Business Management and Administration,NA,2018 Special Session,2018,FALSE
"Doherty, Margaret",NA,35,Democrat,Portions of Multnomah and Washington,Female,17,Education and Training,NA,2018 Special Session,2018,FALSE
"Esquivel, Sal",NA,6,Republican,Portion of Jackson,Male,56,"Marketing, Sales and Service",NA,2018 Special Session,2018,FALSE
"Evans, Paul",NA,20,Democrat,Portions of Marion and Polk,Male,14,Education and Training,NA,2018 Special Session,2018,FALSE
"Fahey, Julie",NA,14,Democrat,Portion of Lane,Female,30,Business Management and Administration,NA,2018 Special Session,2018,FALSE
"Findley, Lynn",NA,60,Republican,"Baker, Grant, Harney, Malheur and portions of Lake",Male,47,Retired,NA,2018 Special Session,2018,FALSE
"Gomberg, David",NA,10,Democrat,"Portions of Lincoln, Polk, Tillamook and Yamhill",Male,43,Business Management and Administration,NA,2018 Special Session,2018,FALSE
"Gorsek, Chris",NA,49,Democrat,Portion of Multnomah,Male,28,Education and Training,NA,2018 Special Session,2018,FALSE
"Greenlick, Mitch",NA,33,Democrat,Portions of Multnomah and Washington,Male,4,Education and Training,NA,2018 Special Session,2018,FALSE
"Hayden, Cedric",NA,7,Republican,Portions of Douglas and Lane,Male,40,Health Science,NA,2018 Special Session,2018,FALSE
"Helfrich, Jeffrey",NA,52,Republican,Hood River and portions of Clackamas and Multnomah,Male,8,Retired,NA,2018 Special Session,2018,FALSE
"Helm, Ken",NA,34,Democrat,Portion of Washington,Male,12,"Law, Public Safety, Corrections and Security",NA,2018 Special Session,2018,FALSE
"Hernandez, Diego",NA,47,Democrat,Portion of Multnomah,Male,29,Business Management and Administration,NA,2018 Special Session,2018,FALSE
"Holvey, Paul",Speaker Pro Tempore,8,Democrat,Portion of Lane,Male,53,"Architecture, Construction and Skilled Trade",NA,2018 Special Session,2018,FALSE
"Kennemer, Bill",NA,39,Republican,Portion of Clackamas,Male,15,Retired,NA,2018 Special Session,2018,FALSE
"Keny-Guyer, Alissa",NA,46,Democrat,Portion of Multnomah,Female,11,Business Management and Administration,NA,2018 Special Session,2018,FALSE
"Kotek, Tina",Speaker,44,Democrat,Portion of Multnomah,Female,55,Business Management and Administration,NA,2018 Special Session,2018,FALSE
"Leif, Gary",NA,2,Republican,"Portions of Douglas, Jackson, Josephine",Male,33,Retired,"Gary Leif was appointed on May 9, 2018 to fill the vacancy of Dallas Heard who resigned on April​ 17, 2018.",2018 Special Session,2018,FALSE
"Lewis, Rick",NA,18,Republican,Portions of Clackamas and Marion,Male,18,Retired,NA,2018 Special Session,2018,FALSE
"Lively, John",NA,12,Democrat,Portion of Lane,Male,26,Finance,NA,2018 Special Session,2018,FALSE
"Malstrom, Sheri",NA,27,Democrat,Portion of Washington,Female,19,Health Science,NA,2018 Special Session,2018,FALSE
"Marsh, Pam",NA,5,Democrat,Portion of Jackson,Female,27,Government and Public Administration,NA,2018 Special Session,2018,FALSE
"McKeown, Caddy",NA,9,Democrat,"Portions of Coos, Douglas, Lane and Lincoln",Female,58,Government and Public Administration,NA,2018 Special Session,2018,FALSE
"McLain, Susan",NA,29,Democrat,Portion of Washington,Female,20,Retired,NA,2018 Special Session,2018,FALSE
"McLane, Mike",Republican Leader,55,Republican,"Crook and portions of Deschutes, Jackson, Klamath and Lake",Male,50,"Law, Public Safety, Corrections and Security",NA,2018 Special Session,2018,FALSE
"Meek, Mark",NA,40,Democrat,Portion of Clackamas,Male,21,"Marketing, Sales and Service",NA,2018 Special Session,2018,FALSE
"Nathanson, Nancy",NA,13,Democrat,Portion of Lane,Female,59,Government and Public Administration,NA,2018 Special Session,2018,FALSE
"Nearman, Mike",NA,23,Republican,"Portions of Benton, Marion, Polk and Yamhill",Male,24,Information Technology,NA,2018 Special Session,2018,FALSE
"Noble, Ron",NA,24,Republican,Portions of Washington and Yamhill,Male,16,Retired,NA,2018 Special Session,2018,FALSE
"Nosse, Rob",NA,42,Democrat,Portion of Multnomah,Male,13,Government and Public Administration,NA,2018 Special Session,2018,FALSE
"Olson, Andy",NA,15,Republican,Portions of Benton and Linn,Male,57,Government and Public Administration,NA,2018 Special Session,2018,FALSE
"Parrish, Julie",NA,37,Republican,Portions of Clackamas and Washington,Female,6,Business Management and Administration,NA,2018 Special Session,2018,FALSE
"Piluso, Carla",NA,50,Democrat,Portion of Multnomah,Female,10,Retired,NA,2018 Special Session,2018,FALSE
"Post, Bill",NA,25,Republican,Portion of Marion,Male,32,"Arts, Audio/Video Technology and Communications",NA,2018 Special Session,2018,FALSE
"Power, Karin",NA,41,Democrat,Portions of Clackamas and Multnomah,Female,22,"Law, Public Safety, Corrections and Security",NA,2018 Special Session,2018,FALSE
"Rayfield, Dan",NA,16,Democrat,Portion of Benton,Male,52,"Law, Public Safety, Corrections and Security",NA,2018 Special Session,2018,FALSE
"Reardon, Jeff",NA,48,Democrat,Portions of Clackamas and Multnomah,Male,45,Education and Training,NA,2018 Special Session,2018,FALSE
"Reschke, E. Werner",NA,56,Republican,Portions of Klamath and Lake,Male,25,"Marketing, Sales and Service",NA,2018 Special Session,2018,FALSE
"Salinas, Andrea",NA,38,Democrat,Portions of Clackamas and Multnomah,Female,37,Government and Public Administration,NA,2018 Special Session,2018,FALSE
"Sanchez, Tawna",NA,43,Democrat,Portion of Multnomah,Female,9,Human Services,NA,2018 Special Session,2018,FALSE
"Smith Warner, Barbara",NA,45,Democrat,Portion of Multnomah,Female,44,Government and Public Administration,NA,2018 Special Session,2018,FALSE
"Smith, David Brock",NA,1,Republican,"Curry and portions of Coos, Douglas and Josephine",Male,1,Business Management and Administration,NA,2018 Special Session,2018,FALSE
"Smith, Greg",NA,57,Republican,"Gilliam, Morrow, Sherman and portions of Umatilla and Wasco",Male,23,Business Management and Administration,NA,2018 Special Session,2018,FALSE
"Sollman, Janeen",NA,30,Democrat,Portion of Washington,Female,5,"Marketing, Sales and Service",NA,2018 Special Session,2018,FALSE
"Sprenger, Sherrie",NA,17,Republican,Portions of Linn and Marion,Female,49,Business Management and Administration,NA,2018 Special Session,2018,FALSE
"Stark, Duane",NA,4,Republican,Portions of Jackson and Josephine,Male,31,Clergy,NA,2018 Special Session,2018,FALSE
"Vial, A. Richard",NA,26,Republican,"Portions of Clackamas, Washington and Yamhill",Male,2,"Agriculture, Food and Natural Resources",NA,2018 Special Session,2018,FALSE
"Whisnant, Gene",NA,53,Republican,Portion of Deschutes,Male,34,Retired,NA,2018 Special Session,2018,FALSE
"Williamson, Jennifer",Democratic Leader,36,Democrat,Portion of Multnomah,Female,51,"Law, Public Safety, Corrections and Security",NA,2018 Special Session,2018,FALSE
"Wilson, Carl",NA,3,Republican,Portion of Josephine,Male,42,"Arts, Audio/Video Technology and Communications",NA,2018 Special Session,2018,FALSE
"Witt, Bradley",NA,31,Democrat,Columbia and portions of Multnomah and Washington,Male,54,Government and Public Administration,NA,2018 Special Session,2018,FALSE
"Alonso Leon, Teresa",NA,22,Democrat,"Brooks, Gervais, Salem, Woodburn",Female,36,Government and Public Administration,NA,2018 Session,2018,TRUE
"Barker, Jeff",NA,28,Democrat,Portion of Washington,Male,3,Retired,NA,2018 Session,2018,TRUE
"Barnhart, Phil",NA,11,Democrat,Portions of Lane and Linn,Male,60,Government and Public Administration,NA,2018 Session,2018,TRUE
"Barreto, Greg",NA,58,Republican,"Union, Wallowa and portion of Umatilla",Male,41,Business Management and Administration,NA,2018 Session,2018,TRUE
"Boles, Denyc",NA,19,Republican,Portion of Marion,Female,48,Government and Public Administration,NA,2018 Session,2018,TRUE
"Bonham, Daniel",NA,59,Republican,"Jefferson, Wheeler and portions of Deschutes and Wasco",Male,7,Business Management and Administration,NA,2018 Session,2018,TRUE
"Boone, Deborah",NA,32,Democrat,Clatsop and portions of Tillamook and Washington,Female,38,Business Management and Administration,NA,2018 Session,2018,TRUE
"Buehler, Knute",NA,54,Republican,Portion of Deschutes,Male,39,Health Science,NA,2018 Session,2018,TRUE
"Bynum, Janelle",NA,51,Democrat,Portions of Clackamas and Multnomah,Female,35,Business Management and Administration,NA,2018 Session,2018,TRUE
"Clem, Brian",NA,21,Democrat,Portion of Marion,Male,46,Business Management and Administration,NA,2018 Session,2018,TRUE
"Doherty, Margaret",NA,35,Democrat,Portions of Multnomah and Washington,Female,17,Education and Training,NA,2018 Session,2018,TRUE
"Esquivel, Sal",NA,6,Republican,Portion of Jackson,Male,56,"Marketing, Sales and Service",NA,2018 Session,2018,TRUE
"Evans, Paul",NA,20,Democrat,Portions of Marion and Polk,Male,14,Education and Training,NA,2018 Session,2018,TRUE
"Fahey, Julie",NA,14,Democrat,Portion of Lane,Female,30,Business Management and Administration,NA,2018 Session,2018,TRUE
"Findley, Lynn",NA,60,Republican,"Baker, Grant, Harney, Malheur and portions of Lake",Male,47,Retired,NA,2018 Session,2018,TRUE
"Gomberg, David",NA,10,Democrat,"Portions of Lincoln, Polk, Tillamook and Yamhill",Male,43,Business Management and Administration,NA,2018 Session,2018,TRUE
"Gorsek, Chris",NA,49,Democrat,Portion of Multnomah,Male,28,Education and Training,NA,2018 Session,2018,TRUE
"Greenlick, Mitch",NA,33,Democrat,Portions of Multnomah and Washington,Male,4,Education and Training,NA,2018 Session,2018,TRUE
"Hayden, Cedric",NA,7,Republican,Portions of Douglas and Lane,Male,40,Health Science,NA,2018 Session,2018,TRUE
"Heard, Dallas",NA,2,Republican,"Portions of Douglas, Jackson, Josephine",Male,33,"Architecture, Construction and Skilled Trade","Dallas Heard resigned on April 17, 2018. Gray Leif was appointed on May 9, 2018 to fill the vacancy.",2018 Session,2018,TRUE
"Helfrich, Jeffrey",NA,52,Republican,Hood River and portions of Clackamas and Multnomah,Male,8,Retired,NA,2018 Session,2018,TRUE
"Helm, Ken",NA,34,Democrat,Portion of Washington,Male,12,"Law, Public Safety, Corrections and Security",NA,2018 Session,2018,TRUE
"Hernandez, Diego",NA,47,Democrat,Portion of Multnomah,Male,29,Business Management and Administration,NA,2018 Session,2018,TRUE
"Holvey, Paul",Speaker Pro Tempore,8,Democrat,Portion of Lane,Male,53,"Architecture, Construction and Skilled Trade",NA,2018 Session,2018,TRUE
"Kennemer, Bill",NA,39,Republican,Portion of Clackamas,Male,15,Retired,NA,2018 Session,2018,TRUE
"Keny-Guyer, Alissa",NA,46,Democrat,Portion of Multnomah,Female,11,Business Management and Administration,NA,2018 Session,2018,TRUE
"Kotek, Tina",Speaker,44,Democrat,Portion of Multnomah,Female,55,Business Management and Administration,NA,2018 Session,2018,TRUE
"Lewis, Rick",NA,18,Republican,Portions of Clackamas and Marion,Male,18,Retired,NA,2018 Session,2018,TRUE
"Lively, John",NA,12,Democrat,Portion of Lane,Male,26,Finance,NA,2018 Session,2018,TRUE
"Malstrom, Sheri",NA,27,Democrat,Portion of Washington,Female,19,Health Science,NA,2018 Session,2018,TRUE
"Marsh, Pam",NA,5,Democrat,Portion of Jackson,Female,27,Government and Public Administration,NA,2018 Session,2018,TRUE
"McKeown, Caddy",NA,9,Democrat,"Portions of Coos, Douglas, Lane and Lincoln",Female,58,Government and Public Administration,NA,2018 Session,2018,TRUE
"McLain, Susan",NA,29,Democrat,Portion of Washington,Female,20,Retired,NA,2018 Session,2018,TRUE
"McLane, Mike",Republican Leader,55,Republican,"Crook and portions of Deschutes, Jackson, Klamath and Lake",Male,50,"Law, Public Safety, Corrections and Security",NA,2018 Session,2018,TRUE
"Meek, Mark",NA,40,Democrat,Portion of Clackamas,Male,21,"Marketing, Sales and Service",NA,2018 Session,2018,TRUE
"Nathanson, Nancy",NA,13,Democrat,Portion of Lane,Female,59,Government and Public Administration,NA,2018 Session,2018,TRUE
"Nearman, Mike",NA,23,Republican,"Portions of Benton, Marion, Polk and Yamhill",Male,24,Information Technology,NA,2018 Session,2018,TRUE
"Noble, Ron",NA,24,Republican,Portions of Washington and Yamhill,Male,16,Retired,NA,2018 Session,2018,TRUE
"Nosse, Rob",NA,42,Democrat,Portion of Multnomah,Male,13,Government and Public Administration,NA,2018 Session,2018,TRUE
"Olson, Andy",NA,15,Republican,Portions of Benton and Linn,Male,57,Government and Public Administration,NA,2018 Session,2018,TRUE
"Parrish, Julie",NA,37,Republican,Portions of Clackamas and Washington,Female,6,Business Management and Administration,NA,2018 Session,2018,TRUE
"Piluso, Carla",NA,50,Democrat,Portion of Multnomah,Female,10,Retired,NA,2018 Session,2018,TRUE
"Post, Bill",NA,25,Republican,Portion of Marion,Male,32,"Arts, Audio/Video Technology and Communications",NA,2018 Session,2018,TRUE
"Power, Karin",NA,41,Democrat,Portions of Clackamas and Multnomah,Female,22,"Law, Public Safety, Corrections and Security",NA,2018 Session,2018,TRUE
"Rayfield, Dan",NA,16,Democrat,Portion of Benton,Male,52,"Law, Public Safety, Corrections and Security",NA,2018 Session,2018,TRUE
"Reardon, Jeff",NA,48,Democrat,Portions of Clackamas and Multnomah,Male,45,Education and Training,NA,2018 Session,2018,TRUE
"Reschke, E. Werner",NA,56,Republican,Portions of Klamath and Lake,Male,25,"Marketing, Sales and Service",NA,2018 Session,2018,TRUE
"Salinas, Andrea",NA,38,Democrat,Portions of Clackamas and Multnomah,Female,37,Government and Public Administration,NA,2018 Session,2018,TRUE
"Sanchez, Tawna",NA,43,Democrat,Portion of Multnomah,Female,9,Human Services,NA,2018 Session,2018,TRUE
"Smith Warner, Barbara",NA,45,Democrat,Portion of Multnomah,Female,44,Government and Public Administration,NA,2018 Session,2018,TRUE
"Smith, David Brock",NA,1,Republican,"Curry and portions of Coos, Douglas and Josephine",Male,1,Business Management and Administration,NA,2018 Session,2018,TRUE
"Smith, Greg",NA,57,Republican,"Gilliam, Morrow, Sherman and portions of Umatilla and Wasco",Male,23,Business Management and Administration,NA,2018 Session,2018,TRUE
"Sollman, Janeen",NA,30,Democrat,Portion of Washington,Female,5,"Marketing, Sales and Service",NA,2018 Session,2018,TRUE
"Sprenger, Sherrie",NA,17,Republican,Portions of Linn and Marion,Female,49,Business Management and Administration,NA,2018 Session,2018,TRUE
"Stark, Duane",NA,4,Republican,Portions of Jackson and Josephine,Male,31,Clergy,NA,2018 Session,2018,TRUE
"Vial, A. Richard",NA,26,Republican,"Portions of Clackamas, Washington and Yamhill",Male,2,"Agriculture, Food and Natural Resources",NA,2018 Session,2018,TRUE
"Whisnant, Gene",NA,53,Republican,Portion of Deschutes,Male,34,Retired,NA,2018 Session,2018,TRUE
"Williamson, Jennifer",Democratic Leader,36,Democrat,Portion of Multnomah,Female,51,"Law, Public Safety, Corrections and Security",NA,2018 Session,2018,TRUE
"Wilson, Carl",NA,3,Republican,Portion of Josephine,Male,42,"Arts, Audio/Video Technology and Communications",NA,2018 Session,2018,TRUE
"Witt, Bradley",NA,31,Democrat,Columbia and portions of Multnomah and Washington,Male,54,Government and Public Administration,NA,2018 Session,2018,TRUE
"Alonso Leon, Teresa",NA,22,Democrat,"Brooks, Gervais, Salem, Woodburn",Female,36,Government and Public Administration,NA,2017 Session,2017,TRUE
"Barker, Jeff",NA,28,Democrat,Portion of Washington,Male,3,Retired,NA,2017 Session,2017,TRUE
"Barnhart, Phil",NA,11,Democrat,Portions of Lane and Linn,Male,60,Government and Public Administration,NA,2017 Session,2017,TRUE
"Barreto, Greg",NA,58,Republican,"Union, Wallowa and portion of Umatilla",Male,41,Business Management and Administration,NA,2017 Session,2017,TRUE
"Bentz, Cliff",NA,60,Republican,"Baker, Grant, Harney, Malheur and portions of Lake",Male,47,"Law, Public Safety, Corrections and Security","Cliff Bentz resigned on January 8, 2017. Lynn Findley was appointed on January 30, 2018 to fill the vacancy.",2017 Session,2017,TRUE
"Boone, Deborah",NA,32,Democrat,Clatsop and portions of Tillamook and Washington,Female,38,Business Management and Administration,NA,2017 Session,2017,TRUE
"Buehler, Knute",NA,54,Republican,Portion of Deschutes,Male,39,Health Science,NA,2017 Session,2017,TRUE
"Bynum, Janelle",NA,51,Democrat,Portions of Clackamas and Multnomah,Female,35,Business Management and Administration,NA,2017 Session,2017,TRUE
"Clem, Brian",NA,21,Democrat,Portion of Marion,Male,46,Business Management and Administration,NA,2017 Session,2017,TRUE
"Doherty, Margaret",NA,35,Democrat,Portions of Multnomah and Washington,Female,17,Education and Training,NA,2017 Session,2017,TRUE
"Esquivel, Sal",NA,6,Republican,Portion of Jackson,Male,56,"Marketing, Sales and Service",NA,2017 Session,2017,TRUE
"Evans, Paul",NA,20,Democrat,Portions of Marion and Polk,Male,14,Education and Training,NA,2017 Session,2017,TRUE
"Fahey, Julie",NA,14,Democrat,Portion of Lane,Female,30,Business Management and Administration,NA,2017 Session,2017,TRUE
"Gilliam, Vic",NA,18,Republican,Portions of Clackamas and Marion,Male,18,"Marketing, Sales and Service","Vic Gilliam resigned on February 1, 2017. Rick Lewis was appointed on February 23, 2017 to fill the vacancy.",2017 Session,2017,TRUE
"Gomberg, David",NA,10,Democrat,"Portions of Lincoln, Polk, Tillamook and Yamhill",Male,43,Business Management and Administration,NA,2017 Session,2017,TRUE
"Gorsek, Chris",NA,49,Democrat,Portion of Multnomah,Male,28,Education and Training,NA,2017 Session,2017,TRUE
"Greenlick, Mitch",NA,33,Democrat,Portions of Multnomah and Washington,Male,4,Education and Training,NA,2017 Session,2017,TRUE
"Hack, Jodi",NA,19,Republican,Portion of Marion,Female,49,Finance,"Jodi Hack resigned on December 31, 2017. Denyc Boles was appointed on January 26, 2018 to fill the vacancy.",2017 Session,2017,TRUE
"Hayden, Cedric",NA,7,Republican,Portions of Douglas and Lane,Male,40,Health Science,NA,2017 Session,2017,TRUE
"Heard, Dallas",NA,2,Republican,"Portions of Douglas, Jackson, Josephine",Male,33,"Architecture, Construction and Skilled Trade",NA,2017 Session,2017,TRUE
"Helm, Ken",NA,34,Democrat,Portion of Washington,Male,12,"Law, Public Safety, Corrections and Security",NA,2017 Session,2017,TRUE
"Hernandez, Diego",NA,47,Democrat,Portion of Multnomah,Male,29,Business Management and Administration,NA,2017 Session,2017,TRUE
"Holvey, Paul",Speaker Pro Tempore,8,Democrat,Portion of Lane,Male,53,"Architecture, Construction and Skilled Trade",NA,2017 Session,2017,TRUE
"Huffman, John",NA,59,Republican,"Jefferson, Wheeler and portions of Deschutes and Wasco",Male,7,Architecture and Construction,"John Huffman resigned on October 28, 2017. Daniel Bonham was appointed on November 28, 2017 to fill the vacancy.",2017 Session,2017,TRUE
"Johnson, Mark",NA,52,Republican,Hood River and portions of Clackamas and Multnomah,Male,8,Architecture and Construction,"Mark Johnson resigned on November 6, 2017. Jeff Helfrich was appointed on December 6, 2017 to fill the vacancy.",2017 Session,2017,TRUE
"Kennemer, Bill",NA,39,Republican,Portion of Clackamas,Male,15,Retired,NA,2017 Session,2017,TRUE
"Keny-Guyer, Alissa",NA,46,Democrat,Portion of Multnomah,Female,11,Business Management and Administration,NA,2017 Session,2017,TRUE
